Company Name,Twitter,Facebook,Instagram,Youtube,Pinterest
ProcterAndGamble,https://twitter.com/proctergamble,https://www.facebook.com/proctergamble,https://www.instagram.com/proctergamble/,https://www.youtube.com/channel/UCDzq6J0KoGCbps96JQuXWRg,https://www.pinterest.com/proctergamble/
Unilever,https://twitter.com/Unilever,https://www.facebook.com/unilever/,https://www.instagram.com/unileverusa/?hl=en,https://www.youtube.com/user/Unilever,https://www.pinterest.com/UnileverUSA/
PepsiCo,https://twitter.com/pepsico,https://www.facebook.com/PepsiCo ,https://www.instagram.com/pepsico/ ,https://www.youtube.com/user/PepsiCoVideo  ,https://www.pinterest.com/pepsico/ 
Nestle,https://twitter.com/Nestle ,https://www.facebook.com/Nestle?brandloc=DISABLE ,https://www.instagram.com/nestletollhouse/?hl=en ,https://www.youtube.com/user/NestleCorporate ,https://www.pinterest.com/nestle/ 
Coca Cola,https://twitter.com/COCACOLACO ,https://www.facebook.com/TheCocaColaCo,https://www.instagram.com/TheCocaColaCo/ ,https://www.youtube.com/user/CocaColaCo ,https://www.pinterest.com/cocacola/ 
Nike,https://twitter.com/Nike ,https://www.facebook.com/nike ,https://www.instagram.com/nike/ ,https://www.youtube.com/user/nike ,https://www.pinterest.com/nikewomen/ 
3M,https://twitter.com/3M ,https://www.facebook.com/3M ,https://www.instagram.com/3M/ ,https://www.youtube.com/user/3M ,
Mondelez International,https://twitter.com/MDLZ ,https://www.facebook.com/mondelezinternational/ ,,https://www.youtube.com/channel/UC4K4zLoKvkhNhgRTctZu8JA ,
General Mills,https://twitter.com/generalmills ,https://www.facebook.com/GeneralMills  ,https://www.instagram.com/generalmills/ ,https://www.youtube.com/user/generalmills ,https://www.pinterest.com/genmills/ 
L'Oreal,https://twitter.com/@loreal ,https://www.facebook.com/beautyforallbyloreal ,https://www.instagram.com/lorealbeautyforall/ ,https://www.youtube.com/channel/UCgmvz6qxtga4W6n1mfmM0Zw ,https://www.pinterest.com/lorealparisusa/
McCormick Spices,https://twitter.com/mccormickspices ,https://www.facebook.com/McCormickSpice ,https://www.instagram.com/mccormickspice/?hl=en ,https://www.youtube.com/user/McCormickVideos ,https://www.pinterest.com/mccormickspice/ 
Clorox,https://twitter.com/clorox ,https://www.facebook.com/Clorox ,https://www.instagram.com/cloroxco/ ,https://www.youtube.com/user/OurClorox ,https://www.pinterest.com/clorox/ 
Hanes,https://twitter.com/hanes ,https://www.facebook.com/hanes ,,https://www.youtube.com/user/HanesOnline,
Smuckers,https://twitter.com/smuckers ,https://www.facebook.com/smuckers ,https://www.instagram.com/smuckersbrand/?hl=en,,
Hersheys,https://twitter.com/hersheys ,https://www.facebook.com/hersheys ,https://www.instagram.com/hersheycompany/?hl=en ,https://www.youtube.com/user/hersheys ,https://www.pinterest.com/hersheycompany/ 
Mattel,https://twitter.com/mattel ,https://www.facebook.com/Mattel/ ,https://www.instagram.com/mattel/?hl=en ,https://www.youtube.com/user/Mattel ,
Ralph Lauren,https://twitter.com/RalphLauren ,https://www.facebook.com/RalphLauren/ ,https://www.instagram.com/ralphlauren/?hl=en ,https://www.youtube.com/user/RLTVralphlauren ,https://www.pinterest.com/ralphlauren/  
Avon,https://twitter.com/avoninsider ,https://www.facebook.com/Avon ,https://www.instagram.com/avoninsider/ ,https://www.youtube.com/avon ,https://www.pinterest.com/avoninsider/ 
Electronic Arts,https://twitter.com/ea ,https://www.facebook.com/EA/ ,https://www.instagram.com/ea/ ,https://www.youtube.com/EAvideos ,
Snapple,https://twitter.com/snapple ,https://www.facebook.com/Snapple/ ,https://www.instagram.com/snapple/ ,https://www.youtube.com/user/beststuffonearth ,
Tria Beauty,https://twitter.com/triabeauty ,https://www.facebook.com/triabeauty ,https://www.instagram.com/triabeauty/ ,https://www.youtube.com/user/TriaBeautyGlobal ,https://www.pinterest.com/triabeauty/ 
Chubbies,https://twitter.com/Chubbies ,https://www.facebook.com/chubbies ,https://www.instagram.com/chubbies/ ,https://www.youtube.com/chubbies ,https://www.pinterest.com/chubbiesshorts/ 
Hello Products,https://twitter.com/helloproducts ,https://www.facebook.com/HelloProducts ,https://www.instagram.com/helloproducts/ ,https://www.youtube.com/channel/UCSCivRA7Nh-gJAyLm74Nnlg ,https://www.pinterest.com/helloproducts/ 
The Honest Company,https://twitter.com/honest ,https://www.facebook.com/Honest ,https://www.instagram.com/Honest/ ,https://www.youtube.com/user/HonestCompany,https://www.pinterest.com/HonestCompany/ 
Harrys,https://twitter.com/harrys ,https://www.facebook.com/hapostrophe ,https://www.instagram.com/harrys/ ,https://www.youtube.com/channel/UCugL2rOcVU9DxicZJLJ9beg ,
Method Home,https://twitter.com/methodhome ,https://www.facebook.com/methodhome ,https://www.instagram.com/methodhome/ ,https://www.youtube.com/user/peopleagainstdirty ,https://www.pinterest.com/methodhome/ 
Walker and Company,https://twitter.com/walkercobrands?lang=en ,https://www.facebook.com/walkerandcompany ,https://www.instagram.com/walkerandcompany/ ,https://www.youtube.com/channel/UCC01LEJu6LMXD_o86TY8oWg ,https://www.pinterest.com/getbevel/ 
Unreal Candy,https://twitter.com/getunreal ,https://www.facebook.com/unrealcandy ,https://www.instagram.com/unreal.candy/ ,https://www.youtube.com/user/unreal ,https://www.pinterest.com/unrealcandy/ 
Hampton Creek,https://twitter.com/hamptoncreek ,https://www.facebook.com/hamptoncreek ,https://www.instagram.com/hamptoncreek/ ,https://www.youtube.com/user/hamptoncreekfoods ,https://www.pinterest.com/hamptoncreekinc/ 
Navitas Organics,https://twitter.com/NavitasOrganics ,https://www.facebook.com/NavitasOrganics/ ,https://www.instagram.com/navitasorganics/ ,https://www.youtube.com/c/NavitasOrganicsTV ,https://www.pinterest.com/navitasorganics/ 
